# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	CAACVS010000531_1	279531	281093	+	473.1	428	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	CAACVS010000679_1	152238	156087	-	1503.5	912	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	CAACVS010000037_1	268029	271330	-	1234.6	787	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	CAACVS010000079_1	76555	80261	+	1338.7	853	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	CAACVS010000043_1	43663	48856	-	1595.7	1229	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	CAACVS010000070_1	171275	175067	-	633.1	720	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	CAACVS010000145_1	52254	55164	+	1040.2	708	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	CAACVS010000086_1	90571	93409	+	696.8	576	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	CAACVS010000326_1	20989	23385	+	752.8	557	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	CAACVS010000471_1	19538	22645	-	787.0	702	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	CAACVS010000167_1	26364	28829	-	969.4	583	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	CAACVS010000154_1	30555	33261	-	992.9	561	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	CAACVS010000198_1	37406	39521	+	556.8	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	CAACVS010000296_1	14115	15971	-	793.9	500	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	CAACVS010000627_1	26249	28699	-	612.0	547	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	CAACVS010000070_1	351050	353756	+	692.1	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	CAACVS010000247_1	132364	134152	+	676.6	410	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	CAACVS010000191_1	46285	48351	-	616.2	443	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	CAACVS010000084_1	22935	24712	-	520.7	422	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	CAACVS010000047_1	63604	65423	+	663.4	429	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	CAACVS010000688_1	71010	72887	+	449.7	290	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	CAACVS010000564_1	52477	54142	-	706.3	373	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	CAACVS010000439_1	125879	128249	+	736.5	513	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	CAACVS010000115_1	134995	136506	+	368.7	413	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	CAACVS010000299_1	32885	34384	-	772.7	451	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	CAACVS010000170_1	21446	22936	+	733.3	408	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	CAACVS010000178_1	47110	48768	+	660.2	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	CAACVS010000039_1	7706	9286	-	554.3	372	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	CAACVS010000170_1	149809	153291	+	1253.5	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	CAACVS010000307_1	30682	32761	+	673.8	483	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	CAACVS010000443_1	17598	19511	-	381.8	329	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	CAACVS010000068_1	29569	30945	-	209.7	226	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
