# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Duplicated	BDSP01000279_1	30872	32365	-	450.2	411	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
302at33634	Duplicated	BDSP01000176_1	34060	35544	-	447.3	382	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
302at33634	Duplicated	BDSP01000279_1	34030	36816	-	446.6	650	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
302at33634	Duplicated	BDSP01000176_1	37258	39750	-	430.3	651	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Duplicated	BDSP01000076_1	4663	8613	-	1534.4	909	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
693at33634	Duplicated	BDSP01000283_1	165747	169733	+	1534.0	910	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Duplicated	BDSP01000013_1	124199	127740	+	1228.9	793	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
723at33634	Duplicated	BDSP01000082_1	49854	53379	-	1224.4	787	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Duplicated	BDSP01000239_1	98261	101932	+	1370.5	840	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
971at33634	Duplicated	BDSP01000118_1	276857	280562	+	1370.1	845	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Duplicated	BDSP01000193_1	242108	247713	+	1587.5	1206	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1102at33634	Duplicated	BDSP01000229_1	90035	95640	-	1564.0	1211	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Duplicated	BDSP01000060_1	88557	90633	+	413.8	430	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1326at33634	Duplicated	BDSP01000032_1	57692	59719	+	413.0	420	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Duplicated	BDSP01000111_1	344074	347050	+	1119.3	713	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1342at33634	Duplicated	BDSP01000223_1	42038	45014	+	1118.7	718	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Duplicated	BDSP01000016_1	402666	405224	-	728.6	571	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
1803at33634	Duplicated	BDSP01000182_1	38416	40929	+	727.4	569	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Duplicated	BDSP01000087_1	278688	281198	+	789.9	591	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
2880at33634	Duplicated	BDSP01000203_1	269779	272287	-	777.0	590	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Duplicated	BDSP01000041_1	426881	429733	+	907.5	677	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3405at33634	Duplicated	BDSP01000100_1	49111	51957	-	902.0	677	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Duplicated	BDSP01000111_1	334167	336537	-	999.1	607	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3528at33634	Duplicated	BDSP01000223_1	33142	35514	-	995.6	607	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Duplicated	BDSP01000013_1	154141	156326	+	1003.1	562	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3786at33634	Duplicated	BDSP01000082_1	1666	3849	+	1002.5	560	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Duplicated	BDSP01000032_1	73364	75311	+	579.9	482	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3834at33634	Duplicated	BDSP01000060_1	104203	106149	+	559.8	489	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Duplicated	BDSP01000107_1	6093	8138	+	816.9	514	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3835at33634	Duplicated	BDSP01000152_1	544396	546445	+	815.8	515	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Duplicated	BDSP01000204_1	262144	264465	+	651.0	565	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
3892at33634	Duplicated	BDSP01000045_1	34129	36450	-	645.7	565	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Duplicated	BDSP01000218_1	231327	234320	-	702.5	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4148at33634	Duplicated	BDSP01000051_1	100960	103569	-	702.4	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Duplicated	BDSP01000199_1	250558	252403	+	665.1	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4166at33634	Duplicated	BDSP01000033_1	20875	22717	+	664.9	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Duplicated	BDSP01000087_1	261069	263405	-	606.9	443	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
4406at33634	Duplicated	BDSP01000203_1	287549	289933	+	606.8	443	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	BDSP01000187_1	94532	96355	-	566.0	420	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	BDSP01000136_1	124235	126058	-	558.9	417	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Duplicated	BDSP01000114_1	126805	128472	-	650.1	434	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
