QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
thiF	AGNL01002445_1	37.066	259	139	7	8	243	3828	3055	4.21e-37	139	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_02042	2872	4440	-	3441.5
thiD	AGNL01002796_1	35.938	256	111	9	20	230	844	1587	1.67e-28	115	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1215.5
thiDN	AGNL01002796_1	37.647	170	94	4	19	177	844	1350	1.09e-23	105	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1097
THI20	AGNL01002796_1	30.04	253	138	7	40	256	844	1593	4.23e-19	93.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1218.5
thiDE	AGNL01002796_1	32.353	272	134	8	349	572	901	1710	2.71e-24	109	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1305.5
thiE	AGNL01002796_1	44.505	182	90	7	15	186	2009	2551	2.22e-32	124	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	2280
THI6	AGNL01002796_1	36.066	61	37	2	38	96	2063	2245	0.027	38.9	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	2154
ACP1	AGNL01008355_1	24.476	143	77	4	22	134	4837	4412	0.14	33.5	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_08059	3755	5111	-	4624.5
iscS	AGNL01012891_1	76.364	385	87	1	20	400	3143	4297	0	594	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_11333	2779	4303	+	3720
dxs	AGNL01013489_1	72.361	720	147	4	53	721	582	2738	0	1077	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_11764	423	2786	+	1660
tenI	AGNL01014661_1	25	176	88	7	58	191	2522	3043	0.001	40.4	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01014661_1:2522-3043				2782.5
THI4	AGNL01017391_1	42	50	23	2	93	140	1082	1219	2.1	32	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_14960	1	2680	+	1150.5
ylmB	AGNL01017677_1	25	72	51	1	349	420	1597	1803	1.1	33.1	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_15231	867	2302	+	1700
rsgA	AGNL01018059_1	34.694	49	18	1	137	185	1166	1270	0.71	33.1	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_15626	337	3017	+	1218
thiO	AGNL01018349_1	30.345	290	177	10	92	363	6875	6027	1.18e-25	110	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_16086	4549	7605	-	6451
adk	AGNL01018672_1	78.431	204	44	0	105	308	2198	1587	2.76e-103	332	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_16668	1575	2898	-	1892.5
THI5	AGNL01021096_1	33.628	113	74	1	6	118	342	7	9.95e-11	62.4	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01021096_1:342-7				174.5
thiM	AGNL01021835_1	28.75	80	46	4	8	79	941	711	2.1	31.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_19721	686	1075	-	826
TH2	AGNL01022901_1	34.146	369	182	8	73	432	6052	5102	8.53e-44	165	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_20337	5090	6070	-	5577
thiK	AGNL01025469_1	26.891	119	76	3	128	237	14542	14192	0.22	34.3	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_21525	13691	14689	-	14367
thiH	AGNL01027265_1	30.159	63	41	1	310	372	1223	1044	3.7	31.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_22229	912	3118	-	1133.5
NTPCR	AGNL01032435_1	31.765	85	51	3	88	168	2625	2870	0.49	32	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_24082	1928	2845	-	2747.5
PHO5_11_12	AGNL01034611_1	28.07	57	41	0	241	297	1713	1543	0.95	33.1	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_25120	1	1743	-	1628
thiN	AGNL01034746_1	36.957	46	28	1	30	74	1581	1444	0.21	33.5	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_25214	414	2293	-	1512.5
tenA	AGNL01034836_1	28.049	164	105	6	52	207	5604	5128	2.04e-5	46.6	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_25271	4893	5676	-	5366
phoA	AGNL01034926_1	33.333	51	33	1	167	216	5052	4900	5	31.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_25334	4920	5528	+	4976
E2.5.1.2	AGNL01041356_1	29.63	54	37	1	3	55	723	562	0.51	34.3	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01041356_1:723-562				642.5
thi4	AGNL01041535_1	58.621	29	12	0	33	61	1851	1937	0.028	37.4	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_29326	1494	4566	+	1894
thiG	AGNL01043102_1	49.609	256	121	3	2	249	53818	53051	3.2e-71	238	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043102_1:53818-53051				53434.5
thiL	AGNL01043364_1	36.842	57	35	1	131	186	213	43	0.078	35.8	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043364_1:213-43				128
thiI	AGNL01045197_1	25.18	139	64	4	56	154	1525	1941	0.13	36.6	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_32141	553	2421	+	1733
thiC	AGNL01045876_1	91.026	234	21	0	345	578	3159	2458	0	427	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_32799	2270	5002	-	2808.5
THTPA	AGNL01046994_1	28.674	279	146	11	42	275	841	1653	2.43e-18	86.3	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_33892	442	3511	+	1247
PHO	AGNL01048443_1	41.935	31	18	0	436	466	6700	6792	5.4	31.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01048443_1:6700-6792				6746
