# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	QPGO01000011_1	174374	175924	+	463.0	425	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	QPGO01000169_1	3105	6686	-	1541.6	907	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	QPGO01000008_1	655813	659063	-	1260.5	779	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	QPGO01000054_1	153727	157184	+	1399.3	830	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	QPGO01000009_1	282305	288147	+	1563.8	1265	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	QPGO01000023_1	683684	685796	-	416.6	418	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	QPGO01000089_1	233353	236344	-	1069.0	707	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	QPGO01000091_1	306358	309189	-	530.4	486	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	QPGO01000516_1	9110	10915	-	722.8	512	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	QPGO01000015_1	327105	329978	-	924.8	680	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	QPGO01000007_1	619746	622223	-	992.8	632	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	QPGO01000021_1	27187	29023	-	914.7	473	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	QPGO01000021_1	101416	103485	+	541.5	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Fragmented	QPGO01000145_1	121393	122487	+	521.1	302	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	QPGO01000015_1	517355	519795	+	628.7	581	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	QPGO01000023_1	117967	120775	-	696.6	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	QPGO01000251_1	62488	64828	+	626.8	365	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Missing
5074at33634	Duplicated	QPGO01000212_1	54064	55566	-	499.5	416	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	QPGO01000057_1	6114	7613	-	498.5	416	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	QPGO01000140_1	28134	29751	-	617.1	418	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	QPGO01000112_1	26960	28919	-	462.7	289	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	QPGO01000203_1	76223	77698	+	710.2	377	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Fragmented	QPGO01000219_1	88995	91289	-	491.4	371	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	QPGO01000185_1	88357	89820	+	363.8	403	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	QPGO01000103_1	151150	152841	-	789.4	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	QPGO01000263_1	21929	23335	-	715.8	389	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	QPGO01000175_1	18854	20494	+	687.0	445	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	QPGO01000175_1	97819	99636	+	561.6	361	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	QPGO01000062_1	95215	98565	-	1270.6	884	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	QPGO01000045_1	305333	307445	+	646.9	530	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	QPGO01000075_1	93150	95094	+	384.9	344	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
