# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Duplicated	BLYE01000188_1	33141	34640	+	462.2	402	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
302at33634	Duplicated	BLYE01000029_1	122095	123594	+	461.9	402	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	BLYE01000001_1	1339711	1343369	+	1524.4	935	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	BLYE01000028_1	167972	171222	-	1246.7	787	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Duplicated	BLYE01000005_1	39607	43005	-	1362.6	844	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
971at33634	Duplicated	BLYE01000109_1	26303	29701	-	1362.6	844	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	BLYE01000011_1	836783	842404	-	1608.4	1198	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	BLYE01000012_1	825602	827467	-	409.5	449	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	BLYE01000002_1	742957	745932	-	1048.8	711	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Duplicated	BLYE01000004_1	216365	219026	-	720.8	587	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
1803at33634	Duplicated	BLYE01000103_1	5	2669	-	715.9	549	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	BLYE01000009_1	90	2366	+	709.1	534	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	BLYE01000005_1	1196165	1199017	+	859.7	702	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	BLYE01000024_1	138210	140561	+	991.3	617	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	BLYE01000028_1	104032	106354	+	1005.9	562	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Duplicated	BLYE01000017_1	258897	260859	+	552.0	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3834at33634	Duplicated	BLYE01000156_1	71282	73244	+	551.4	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	BLYE01000002_1	1405067	1406881	-	818.9	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	BLYE01000072_1	30269	32833	+	608.0	564	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	BLYE01000028_1	283325	286190	+	704.8	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Duplicated	BLYE01000004_1	505692	507736	+	681.1	410	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4166at33634	Duplicated	BLYE01000106_1	12325	14380	+	681.1	410	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Duplicated	BLYE01000004_1	980411	982712	+	609.4	434	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
4406at33634	Duplicated	BLYE01000100_1	150299	152663	+	608.8	434	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	BLYE01000135_1	21315	22971	-	563.6	423	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	BLYE01000013_1	522548	524204	-	563.1	423	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	BLYE01000041_1	102499	104307	-	647.9	420	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Duplicated	BLYE01000143_1	32707	34467	+	451.8	279	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5145at33634	Duplicated	BLYE01000014_1	74205	75965	+	451.8	279	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	BLYE01000003_1	634394	635871	+	716.0	374	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Duplicated	BLYE01000106_1	296994	299048	+	732.9	496	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5960at33634	Duplicated	BLYE01000004_1	786905	788959	+	730.0	494	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	BLYE01000015_1	179554	180975	+	375.5	401	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Duplicated	BLYE01000015_1	786268	787932	-	788.2	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6366at33634	Duplicated	BLYE01000148_1	27922	29586	-	788.2	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	BLYE01000002_1	1206791	1208344	+	731.2	408	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Duplicated	BLYE01000022_1	72567	74201	+	660.7	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6684at33634	Duplicated	BLYE01000172_1	12082	13716	+	660.7	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Duplicated	BLYE01000020_1	277378	278827	-	554.6	362	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6933at33634	Duplicated	BLYE01000162_1	204712	206161	-	554.6	362	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	BLYE01000002_1	1191956	1195439	-	1268.6	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Duplicated	BLYE01000004_1	639031	641080	+	660.4	518	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
6989at33634	Duplicated	BLYE01000106_1	139442	141491	+	659.4	519	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	BLYE01000037_1	172684	174552	-	388.9	340	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	BLYE01000021_1	442176	443321	+	222.0	232	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Duplicated	BLYE01000010_1	750179	751825	+	301.2	259	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8760at33634	Duplicated	BLYE01000132_1	20023	21600	+	299.4	257	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	BLYE01000027_1	77956	79441	+	598.3	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	BLYE01000015_1	640030	641001	-	137.0	208	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	BLYE01000007_1	866465	868083	-	557.1	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	BLYE01000022_1	144158	145309	+	370.8	303	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	BLYE01000001_1	2468452	2469856	-	397.6	332	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	BLYE01000012_1	733834	736800	-	736.9	613	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Duplicated	BLYE01000017_1	358643	360483	+	415.9	384	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
9939at33634	Duplicated	BLYE01000156_1	163375	165215	+	415.9	384	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	BLYE01000003_1	1193918	1195213	-	309.1	279	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10425at33634	Duplicated	BLYE01000007_1	280765	282183	+	682.4	351	https://www.orthodb.org/v10?query=10425at33634	H/ACA ribonucleoprotein complex subunit 4
10425at33634	Duplicated	BLYE01000116_1	48365	49783	+	682.4	351	https://www.orthodb.org/v10?query=10425at33634	H/ACA ribonucleoprotein complex subunit 4
10799at33634	Complete	BLYE01000037_1	79570	81015	+	544.9	348	https://www.orthodb.org/v10?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	BLYE01000024_1	37202	39385	+	533.8	363	https://www.orthodb.org/v10?query=11504at33634	RNA helicase
12069at33634	Complete	BLYE01000022_1	307721	308893	+	323.0	265	https://www.orthodb.org/v10?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Duplicated	BLYE01000016_1	507526	509400	-	440.7	354	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12249at33634	Duplicated	BLYE01000154_1	202778	204691	-	440.4	354	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	BLYE01000008_1	880651	881636	+	210.6	218	https://www.orthodb.org/v10?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	BLYE01000037_1	197692	198894	-	673.3	376	https://www.orthodb.org/v10?query=12382at33634	Dead deah box rna
12562at33634	Complete	BLYE01000001_1	877505	879841	+	612.2	553	https://www.orthodb.org/v10?query=12562at33634	WD40-repeat-containing domain
12626at33634	Complete	BLYE01000028_1	165427	167058	-	369.0	343	https://www.orthodb.org/v10?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1
12684at33634	Duplicated	BLYE01000100_1	135339	136484	-	274.0	241	https://www.orthodb.org/v10?query=12684at33634	pap-associated domain-containing protein 5-like
12684at33634	Duplicated	BLYE01000004_1	965381	966526	-	273.8	240	https://www.orthodb.org/v10?query=12684at33634	pap-associated domain-containing protein 5-like
12693at33634	Missing
13102at33634	Complete	BLYE01000015_1	624092	625996	-	491.3	410	https://www.orthodb.org/v10?query=13102at33634	Large subunit GTPase 1
13476at33634	Duplicated	BLYE01000029_1	337352	338131	+	302.3	188	https://www.orthodb.org/v10?query=13476at33634	Proteasome subunit beta type
13476at33634	Duplicated	BLYE01000190_1	27987	28766	+	302.3	188	https://www.orthodb.org/v10?query=13476at33634	Proteasome subunit beta type
13537at33634	Complete	BLYE01000002_1	1003184	1004203	-	339.3	225	https://www.orthodb.org/v10?query=13537at33634	Methyltransferase WBSCR22
13819at33634	Duplicated	BLYE01000124_1	13075	14456	-	523.4	351	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
13819at33634	Duplicated	BLYE01000009_1	205305	206686	-	522.9	337	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
