# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Missing
693at33634	Complete	AGNL01018489_1	91	3953	-	1469.0	912	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	AGNL01045973_1	6951	10292	-	1251.8	777	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	AGNL01050727_1	592	3906	+	1416.0	843	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	AGNL01048597_1	619	7088	-	1578.9	1233	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	AGNL01045577_1	93	2685	-	531.0	542	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	AGNL01018392_1	2750	5265	-	926.2	605	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Fragmented	AGNL01050720_1	7220	10052	+	551.0	452	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	AGNL01015340_1	852	3464	+	750.6	572	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	AGNL01046314_1	2903	5900	-	936.7	685	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	AGNL01000169_1	96	2272	-	898.5	576	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	AGNL01009421_1	4143	5975	+	971.8	545	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	AGNL01012566_1	5181	7399	-	534.6	473	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	AGNL01001320_1	3538	5707	+	821.4	501	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
