# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	scaffold00043	100721	106244	-	739.1	966	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	scaffold00251	40446	44135	-	1494.5	922	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	scaffold00123	75814	79233	+	1239.2	780	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	scaffold00001	1070518	1073743	+	1388.7	843	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	scaffold00058	125473	130927	-	1541.4	1203	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	scaffold00060	133035	136595	+	598.3	692	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	scaffold00156	51529	57427	+	1043.5	679	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Duplicated	scaffold00901	6052	8996	+	704.9	588	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
1803at33634	Duplicated	scaffold00751	3690	6598	+	700.9	603	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	scaffold00002	699775	702236	+	791.3	542	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	scaffold00139	54527	57310	+	889.2	684	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	scaffold00010	501258	503537	+	986.5	605	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Duplicated	scaffold00019	144373	146634	-	965.7	560	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
