# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	scaffold280_size272602	167635	169832	-	251.9	450	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	scaffold81_size906611	217502	221389	-	1496.4	933	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	scaffold432_size142671	111556	115171	-	1278.8	784	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	scaffold95_size415656	121028	124653	+	1373.4	857	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	scaffold223_size324968	49081	55629	-	1274.3	1089	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Fragmented	scaffold716_size35289	17564	19697	-	366.8	396	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	scaffold93_size447978	85370	88386	-	1134.0	744	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	scaffold63_size1124630	653123	655822	+	694.8	586	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	scaffold225_size291280	83962	86479	+	761.4	570	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	scaffold22_size1075405	82426	85177	+	947.6	682	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	scaffold20_size643067	483949	486505	+	989.6	585	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	scaffold97_size472814	312379	314563	-	1018.1	561	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	scaffold30_size1839819	207881	209977	+	533.9	482	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	scaffold49_size1113722	1063536	1065675	+	809.8	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	scaffold450_size199222	36028	38265	-	588.1	533	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	scaffold18_size1287306	374540	377247	-	699.4	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	scaffold135_size786999	418869	420635	-	681.7	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	scaffold111_size321812	245710	247894	+	606.0	503	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	scaffold14_size2522936|	2003099	2004679	+	510.9	416	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	scaffold344_size112704	83123	84952	+	500.5	415	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	scaffold81_size906611	606088	607605	+	588.1	382	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	scaffold84_size1198557	131781	132824	-	459.4	289	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	scaffold101_size565204	433436	435441	-	708.4	374	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	scaffold102_size575664	5634	8107	+	721.5	496	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	scaffold27_size899298	111100	112741	-	361.9	355	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	scaffold65_size510149	206649	208340	-	791.1	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	scaffold45_size1369571	1004178	1005674	+	750.7	410	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	scaffold254_size322433	200444	202129	-	684.4	456	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	scaffold97_size472814	10153	11799	+	558.3	352	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Duplicated	scaffold623_size84673	11867	15403	+	1244.2	861	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
