# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	WXVQ01000027_1	145643	147127	+	463.5	431	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	WXVQ01000152_1	258406	262059	-	1496.2	939	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	WXVQ01000257_1	4027	7279	+	1248.3	787	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	WXVQ01000177_1	27715	31110	-	1361.7	842	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	WXVQ01000988_1	90628	96254	+	1514.0	1160	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	WXVQ01000022_1	127512	131146	-	646.3	760	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	WXVQ01000006_1	210976	213543	-	948.7	658	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	WXVQ01000113_1	20761	23424	+	719.3	586	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	WXVQ01000238_1	20463	23061	-	779.2	578	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	WXVQ01000257_1	42742	45570	+	861.6	671	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	WXVQ01000987_1	64877	67222	-	992.7	620	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	WXVQ01000312_1	15146	17413	-	1005.4	563	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	WXVQ01000045_1	12694	14668	+	548.9	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	WXVQ01000990_1	21702	23549	-	818.2	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	WXVQ01000001_1	28176	30749	-	609.6	562	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	WXVQ01000179_1	25822	28641	+	704.5	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	WXVQ01000233_1	9396	11201	+	609.4	396	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	WXVQ01000128_1	21725	24085	+	608.5	435	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	WXVQ01000066_1	90782	92431	-	559.7	420	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	WXVQ01000061_1	43919	45706	+	647.7	420	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	WXVQ01000003_1	17794	19554	-	452.5	279	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	WXVQ01000011_1	153517	154999	+	717.3	374	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	WXVQ01000067_1	60935	63010	+	730.3	506	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	WXVQ01000036_1	67595	69037	-	379.4	407	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	WXVQ01000033_1	133918	135580	-	787.7	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	WXVQ01000157_1	133663	135156	-	731.4	408	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	WXVQ01000144_1	17685	19319	-	654.8	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	WXVQ01000985_1	144911	146581	+	555.0	362	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	WXVQ01000157_1	145960	149435	+	1268.2	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	WXVQ01000191_1	6022	8066	-	661.0	498	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	WXVQ01000360_1	15643	17511	-	387.1	340	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	WXVQ01000082_1	65629	66768	-	217.2	229	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	WXVQ01000186_1	25814	27424	+	294.4	252	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	WXVQ01000072_1	15217	16688	+	598.8	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	WXVQ01000086_1	72349	73323	-	139.4	207	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	WXVQ01000405_1	646	2225	+	556.8	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	WXVQ01000012_1	43128	44279	+	372.7	303	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	WXVQ01000009_1	59171	60573	+	402.9	335	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	WXVQ01000022_1	50392	53349	-	734.3	596	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
