# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	Sro_contig264	40168	41718	-	467.7	404	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	Sro_contig308	56317	60051	-	1480.5	923	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	Sro_contig408	7632	11310	-	1243.5	780	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	Sro_contig797	28414	31765	-	1379.7	849	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	Sro_contig258	45677	51805	+	1481.1	1185	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	Sro_contig1269	11484	14493	+	553.4	593	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	Sro_contig1540	12550	15476	-	1063.7	729	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	Sro_contig497	2477	5203	-	691.8	583	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	Sro_contig413	32222	34651	-	753.1	562	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	Sro_contig987	25026	27992	+	894.5	687	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Duplicated	Sro_contig2184	14784	17169	-	981.7	578	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3528at33634	Duplicated	Sro_contig251	81988	84362	+	891.2	570	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	Sro_contig174	57527	59434	-	967.0	504	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	Sro_contig70	56727	58843	+	518.4	460	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	Sro_contig1688	3732	5591	+	800.5	495	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	Sro_contig868	37584	40061	-	599.5	568	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	Sro_contig157	58162	61230	+	684.2	476	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	Sro_contig1292	13558	15823	-	606.8	364	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	Sro_contig345	72562	74592	-	305.3	315	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	Sro_contig379	52221	54147	+	535.6	422	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	Sro_contig74	52123	54110	+	613.3	425	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	Sro_contig9	182533	184522	-	440.4	291	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	Sro_contig120	83379	84894	-	712.0	377	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Duplicated	Sro_contig354	27321	29645	-	711.3	518	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5960at33634	Duplicated	Sro_contig534	1333	3663	-	710.9	517	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Duplicated	Sro_contig101	82017	83522	-	364.1	408	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
5964at33634	Duplicated	Sro_contig3145	3385	4890	+	357.3	402	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	Sro_contig961	32764	34484	-	777.4	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	Sro_contig1516	14267	15970	+	736.4	403	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	Sro_contig1027	11522	13228	-	678.4	435	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	Sro_contig1197	24694	26447	-	535.0	362	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	Sro_contig813	24322	27825	+	1275.6	888	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	Sro_contig810	34002	35627	-	608.4	505	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Missing
8142at33634	Complete	Sro_contig1543	17231	18394	+	212.6	224	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	Sro_contig1318	21451	22956	+	298.8	291	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Duplicated	Sro_contig1266	20082	21623	+	581.7	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
8842at33634	Duplicated	Sro_contig536	29508	31066	+	581.7	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	Sro_contig1227	14935	16419	-	146.5	251	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	Sro_contig1568	16439	17998	+	603.5	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	Sro_contig1551	19851	21128	+	343.2	303	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	Sro_contig1	153809	155263	+	393.3	314	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	Sro_contig151	23052	25808	-	764.6	521	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Duplicated	Sro_contig1180	19883	21784	-	428.0	393	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
9939at33634	Duplicated	Sro_contig276	6038	8051	+	398.2	375	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
