#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig536:40811-41471 -            189 179362at2759         -            938   6.4e-82  272.5   0.6   1   1   5.7e-84   7.7e-82  272.2   0.6   765   928     1   168     1   172 0.94 -
Sro_contig536:45035-45670 -            212 179362at2759         -            938   2.8e-71  237.3   0.2   1   1   2.3e-73   3.1e-71  237.1   0.2     1   181     7   209     7   212 0.91 -
Sro_contig1254:7450-9096  -            549 179362at2759         -            938   1.3e-09   33.2  12.4   1   5   0.00033     0.045    8.2   0.0    25    59    21    55    21    92 0.81 -
Sro_contig1254:7450-9096  -            549 179362at2759         -            938   1.3e-09   33.2  12.4   2   5   0.00055     0.075    7.5   0.0   868   926   160   215   155   223 0.81 -
Sro_contig1254:7450-9096  -            549 179362at2759         -            938   1.3e-09   33.2  12.4   3   5      0.13        18   -0.4   5.2   597   673   239   313   221   321 0.67 -
Sro_contig1254:7450-9096  -            549 179362at2759         -            938   1.3e-09   33.2  12.4   4   5      0.17        22   -0.7   0.1    24    38   361   375   360   386 0.83 -
Sro_contig1254:7450-9096  -            549 179362at2759         -            938   1.3e-09   33.2  12.4   5   5   3.5e-07   4.8e-05   18.1   0.0   864   901   472   509   471   534 0.82 -
Sro_contig1378:8284-9456  -            391 179362at2759         -            938   1.2e-07   26.6   5.8   1   3   0.00017     0.024    9.2   0.0   864   926    51   106    50   152 0.92 -
Sro_contig1378:8284-9456  -            391 179362at2759         -            938   1.2e-07   26.6   5.8   2   3      0.09        12    0.2   0.5    25    40   216   231   214   241 0.83 -
Sro_contig1378:8284-9456  -            391 179362at2759         -            938   1.2e-07   26.6   5.8   3   3   2.9e-07     4e-05   18.3   0.2   877   928   324   368   315   374 0.89 -
Sro_contig942:29152-30423 -            424 179362at2759         -            938   2.4e-06   22.4   0.4   1   4    0.0063      0.86    4.0   0.0   864   891    35    62    34    72 0.88 -
Sro_contig942:29152-30423 -            424 179362at2759         -            938   2.4e-06   22.4   0.4   2   4      0.72        98   -2.8   0.4   344   369   129   154    96   170 0.38 -
Sro_contig942:29152-30423 -            424 179362at2759         -            938   2.4e-06   22.4   0.4   3   4    0.0088       1.2    3.5   0.0    24    41   232   249   231   259 0.87 -
Sro_contig942:29152-30423 -            424 179362at2759         -            938   2.4e-06   22.4   0.4   4   4   6.5e-05    0.0088   10.6   0.0   876   927   349   396   337   400 0.85 -
Sro_contig365:35271-35519 -             83 179362at2759         -            938    0.0003   15.4   0.0   1   1   2.2e-06    0.0003   15.4   0.0   877   928    27    71     8    80 0.77 -
Sro_contig2585:3634-4842  -            403 179362at2759         -            938    0.0024   12.4   0.0   1   4       0.1        14   -0.0   0.0    25    59    33    66    33    86 0.67 -
Sro_contig2585:3634-4842  -            403 179362at2759         -            938    0.0024   12.4   0.0   2   4   1.8e-05    0.0024   12.4   0.0   864   928   160   217   159   223 0.87 -
Sro_contig2585:3634-4842  -            403 179362at2759         -            938    0.0024   12.4   0.0   3   4      0.58        79   -2.5  11.4   574   644   249   298   226   339 0.35 -
