# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	NKIB01013115_1	36573	38057	-	456.2	414	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	NKIB01012676_1	54715	58275	+	1517.8	926	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	NKIB01015098_1	11892	14956	-	1241.5	780	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	NKIB01013189_1	56	3428	+	1378.3	856	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	NKIB01007767_1	689	6123	+	1580.5	1240	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	NKIB01006703_1	6583	10151	-	609.1	740	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	NKIB01013358_1	35368	38353	+	1111.7	751	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	NKIB01001395_1	7506	10281	+	716.6	585	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	NKIB01014476_1	14276	16702	-	798.0	580	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	NKIB01015149_1	9644	12484	-	885.0	687	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	NKIB01012322_1	879	3152	+	988.5	625	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	NKIB01006910_1	4968	7283	+	1000.3	521	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	NKIB01001724_1	19610	21409	+	570.3	482	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	NKIB01012981_1	27736	29544	+	829.5	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	NKIB01010730_1	527	2926	+	614.8	554	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	NKIB01012287_1	1351	3996	+	691.1	474	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	NKIB01001346_1	21354	23338	-	653.2	422	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	NKIB01000722_1	18249	20660	+	598.2	443	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	NKIB01002951_1	1930	3522	+	553.4	414	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	NKIB01006909_1	106230	107711	+	591.6	417	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	NKIB01003441_1	4814	6613	+	450.1	279	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	NKIB01013257_1	898	2351	+	711.8	373	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
