# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	scaffold_19	149333	151117	+	485.1	441	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	scaffold_51	282870	286516	-	1493.6	926	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	scaffold_142	33974	37306	+	1232.1	782	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	scaffold_415	114794	118462	+	1348.0	861	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	scaffold_438	30319	35900	+	1594.3	1227	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	scaffold_130	147266	149212	+	402.2	418	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	scaffold_105	254229	257254	+	1043.2	704	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	scaffold_210	138339	141191	-	703.2	585	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	scaffold_293	52485	54929	+	757.3	559	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	scaffold_1415	14046	17168	+	781.1	721	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	scaffold_14	585583	588118	+	954.6	607	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	scaffold_60	61671	64614	+	983.9	561	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	scaffold_594	26385	28489	-	565.7	481	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	scaffold_436	85594	87450	-	793.9	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	scaffold_135	97786	100425	-	606.8	548	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	scaffold_35	374352	377093	-	688.6	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	scaffold_214	12662	14405	-	666.1	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	scaffold_30	228173	230260	+	617.7	465	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	scaffold_608	17228	18980	-	526.0	419	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	scaffold_235	90680	92545	+	664.1	427	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	scaffold_27	371227	373173	-	445.6	297	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	scaffold_7	613301	615017	-	710.1	373	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	scaffold_208	37411	40191	-	739.5	514	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	scaffold_492	68335	69867	-	387.1	410	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	scaffold_95	101241	102737	+	770.1	451	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	scaffold_124	121988	123478	+	738.4	408	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	scaffold_66	92852	94510	+	653.5	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	scaffold_211	110586	112197	-	555.9	385	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	scaffold_103	39642	43112	-	1258.3	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	scaffold_210	27068	29167	-	668.4	497	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	scaffold_19	590437	592449	-	383.8	336	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	scaffold_1004	13571	14719	+	203.1	227	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	scaffold_1683	17897	20382	-	280.0	315	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	scaffold_101	63235	64783	+	595.3	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	scaffold_166	185017	186336	+	147.9	210	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	scaffold_91	274582	275943	+	574.2	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	scaffold_261	45974	47191	-	361.9	293	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	scaffold_288	154332	156223	-	364.8	313	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	scaffold_34	388419	391274	+	715.4	548	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Complete	scaffold_68	49056	51029	-	438.3	405	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	scaffold_190	93082	94578	+	256.7	251	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
