QueryId	SubjectId	Identity...	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
PtTHIF	AGNL01002445_1	48.148	351	160	4	52	381	3876	2827	1.56e-86	290	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_02042	2872	4440	-	3351.5
PtTH1	AGNL01002796_1	55.124	283	111	5	57	324	865	1710	1.22e-150	292	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1287.5
PtDXS	AGNL01013489_1	72.361	720	147	4	54	722	582	2738	0	1075	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_11764	423	2786	+	1660
PtTHIO	AGNL01018349_1	64.883	299	98	3	202	493	6902	6006	4.65e-146	408	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_16086	4549	7605	-	6454
PtNMT1	AGNL01018498_1	61.033	213	75	2	252	463	941	1558	2.93e-112	252	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_16380	81	1564	+	1249.5
PtTHIG	AGNL01043102_1	83.146	267	45	0	1	267	53839	53039	5.64e-142	441	Thalassiosira_oceanica_ThaOc_1.0	-					53439
PtTHIS	AGNL01043102_1	55.714	70	31	0	1	70	56214	56423	7.93e-22	87.8	Thalassiosira_oceanica_ThaOc_1.0	+					56318.5
PtSSSP	AGNL01045717_1	48.077	260	99	7	337	562	6373	7146	2.74e-54	200	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_32646	6175	7155	+	6759.5
PtTHIC	AGNL01045876_1	91.026	234	21	0	345	578	3159	2458	0	427	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_32799	2270	5002	-	2808.5
PtTPK	AGNL01049998_1	45.399	163	71	5	106	250	1884	1396	2.85e-44	132	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_37245	1387	3310	-	1640
PtTHIO	BDSP01000050_1	29.348	92	63	2	400	489	235927	235652	2.43e-4	45.4	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Hh144	234676	237034	-	235789.5
PtTPK	BDSP01000061_1	46.718	259	120	6	4	251	20095	20850	5.01e-66	222	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_17Hh021	19827	21755	-	20472.5
PtNMT1	BDSP01000097_1	25.541	231	146	8	149	366	60310	59657	6.06e-11	65.5	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_2Lh421	59337	60505	-	59983.5
PtTHIF	BDSP01000111_1	53.556	450	196	2	11	454	478535	477207	8.29e-142	449	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_5Hh351	475630	478659	+	477871
FsFOLR	BDSP01000147_1	100	279	0	0	1	279	104661	105497	0	588	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Hh048	104556	106516	+	105079
PtDXS	BDSP01000223_1	82.482	685	106	4	52	731	421115	423142	0	1177	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_5Lh466	420555	423279	+	422128.5
PtSSSP	CAACVS010000021_1	62.807	285	105	1	3	286	53139	52285	1.51e-110	364	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0008960	51164	53315	-	52712
PtTHIG	CAACVS010000123_1	35.714	56	34	1	181	234	72982	72815	0.001	40.8	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0041590	72495	74055	-	72898.5
PtTHIC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0	1019	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0053000	15536	17705	-	16701.5
PtTPK	CAACVS010000214_1	49.388	245	106	8	19	248	191073	190348	2.59e-61	209	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0061590	190257	191365	-	190710.5
PtTH1	CAACVS010000225_1	53.772	623	241	8	4	579	227915	226047	0	597	Pseudo-nitzschia_multistriata_ASM90066040v1	-	gene-PSNMU_V1.4_AUG-EV-PASAV3_0064460	226017	227765	-	226981
