QueryId	SubjectId	Identity...	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_Start	G_End	G_Strand	S_Center
THIF	AGNL01002445_1	48.148	351	160	4	52	381	3876	2827	1.56e-86	290	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_02042	2872	4440	-	3351.5
TH1	AGNL01002796_1	55.124	283	111	5	57	324	865	1710	1.22e-150	292	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_02597	606	2676	+	1287.5
DXS	AGNL01013489_1	72.361	720	147	4	54	722	582	2738	0	1075	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_11764	423	2786	+	1660
THIO	AGNL01018349_1	64.883	299	98	3	202	493	6902	6006	4.65e-146	408	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_16086	4549	7605	-	6454
Thi5-like	AGNL01018498_1	61.033	213	75	2	252	463	941	1558	2.93e-112	252	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_16380	81	1564	+	1249.5
Thi5	AGNL01021096_1	33.628	113	74	1	6	118	342	7	9.95e-11	62.4	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01021096_1:342-7				174.5
TENA	AGNL01034836_1	59.394	165	64	2	3	165	5661	5170	1.45e-69	194	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_25271	4893	5676	-	5415.5
THIG	AGNL01043102_1	83.146	267	45	0	1	267	53839	53039	5.64e-142	441	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043102_1:53839-53039				53439
THIS	AGNL01043102_1	55.714	70	31	0	1	70	56214	56423	7.93e-22	87.8	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01043102_1:56214-56423				56318.5
SSSP	AGNL01045717_1	48.077	260	99	7	337	562	6373	7146	2.74e-54	200	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_32646	6175	7155	+	6759.5
ThiC	AGNL01045876_1	91.026	234	21	0	345	578	3159	2458	0	427	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_32799	2270	5002	-	2808.5
TPK1	AGNL01049998_1	45.399	163	71	5	106	250	1884	1396	2.85e-44	132	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_37245	1387	3310	-	1640
THIO	BDSP01000050_1	29.348	92	63	2	400	489	235927	235652	2.43e-4	45.4	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_1Hh144	234676	237034	-	235789.5
TPK1	BDSP01000061_1	46.718	259	120	6	4	251	20095	20850	5.01e-66	222	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_17Hh021	19827	21755	-	20472.5
Thi5	BDSP01000094_1	23.938	259	174	7	5	254	30038	29304	2.08e-10	62.8	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_6Hh163	26808	32155	-	29671
