# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	WKLE02001703_1	40894	46876	+	840.1	1110	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	WKLE02005809_1	9026	12751	+	1519.4	920	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	WKLE02000273_1	32689	36221	+	1266.0	776	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	WKLE02002440_1	27715	30882	+	1413.3	855	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	WKLE02000152_1	9975	15441	+	1565.6	1202	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	WKLE02006370_1	1904	5709	-	567.2	717	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	WKLE02001190_1	2359	5094	-	1022.0	686	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Missing
2880at33634	Complete	WKLE02003295_1	5511	8018	+	808.4	583	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	WKLE02003722_1	5247	8180	-	909.1	682	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	WKLE02002159_1	17878	20364	+	985.2	598	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	WKLE02003282_1	622	2790	+	998.7	523	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	WKLE02003353_1	5450	7583	-	532.6	507	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	WKLE02001317_1	15235	17046	-	824.6	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	WKLE02002398_1	587	3107	+	619.6	573	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	WKLE02002375_1	36987	39671	-	708.4	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	WKLE02002575_1	16837	18808	+	677.3	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	WKLE02000462_1	33424	35796	-	600.7	443	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	WKLE02006385_1	18494	20266	+	543.9	418	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	WKLE02003097_1	8317	10107	-	657.5	427	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	WKLE02005497_1	7132	8391	+	453.7	289	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	WKLE02003854_1	8105	9611	-	706.2	377	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	WKLE02006244_1	7625	10038	-	692.0	506	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	WKLE02005589_1	24222	25859	+	377.9	411	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	WKLE02004343_1	10026	11723	+	792.7	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Missing
6684at33634	Complete	WKLE02001950_1	11581	13206	+	693.1	449	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	WKLE02006025_1	695	2410	+	551.6	345	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	WKLE02000654_1	7043	10572	+	1265.4	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	WKLE02000775_1	21841	23784	+	695.9	475	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	WKLE02004437_1	3423	5519	-	381.5	336	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	WKLE02002253_1	26823	27974	-	220.8	225	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	WKLE02001488_1	11293	12999	+	321.9	280	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	WKLE02002365_1	492	2040	-	596.2	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
