# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	scaffold_3848	1694	3891	+	251.9	450	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	scaffold_3832	12424	16311	-	1496.4	933	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	scaffold_5808	14182	17089	+	1160.0	648	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	scaffold_4465	12094	15719	-	1373.4	857	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	scaffold_7582	3	5908	+	1228.0	959	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Fragmented	scaffold_5897	179	2310	+	366.8	396	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	scaffold_8408	861	3877	+	1134.0	744	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	scaffold_3864	33866	36565	-	694.8	586	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	scaffold_7175	4101	6620	-	773.6	589	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Duplicated	scaffold_6949	529	3280	+	948.3	682	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3405at33634	Duplicated	scaffold_6950	529	3280	+	948.3	682	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	scaffold_8337	61	2479	+	986.4	572	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	scaffold_5013	3991	5877	-	985.7	554	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Fragmented	scaffold_8097	3900	5453	+	463.5	376	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	scaffold_4229	3101	5240	+	809.8	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	scaffold_3898	13186	15567	+	570.7	535	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	scaffold_5991	9834	12541	+	699.4	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	scaffold_4320	26067	27833	-	681.7	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	scaffold_4240	7367	9551	+	606.0	503	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	scaffold_6101	3165	4745	+	510.9	416	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	scaffold_6248	9820	11649	+	500.5	415	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	scaffold_8477	5041	6558	-	588.1	382	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	scaffold_13965	223	1374	+	498.4	324	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	scaffold_3942	37863	39868	+	708.4	374	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Missing
5964at33634	Complete	scaffold_11171	2098	3918	+	378.0	403	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	scaffold_7749	1091	2782	+	791.1	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	scaffold_12672	1075	2571	+	750.7	410	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	scaffold_4504	7185	8854	-	284.8	426	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	scaffold_5321	11949	13595	-	558.3	352	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	scaffold_7073	6475	10069	+	1273.8	871	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	scaffold_9604	4689	6865	-	450.9	484	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	scaffold_8361	1404	3426	+	368.1	334	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	scaffold_11286	2303	3808	+	207.6	195	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	scaffold_7038	5846	7795	-	258.7	288	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	scaffold_4561	13608	14984	+	599.1	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	scaffold_7942	6362	7642	+	121.3	196	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	scaffold_6817	4218	5651	+	578.1	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	scaffold_8925	1305	2570	+	344.2	316	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	scaffold_3957	39407	40784	-	360.1	310	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	scaffold_5244	6908	9766	+	727.3	539	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Complete	scaffold_3818	23840	25495	+	352.3	298	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Duplicated	scaffold_13951	325	2094	+	300.9	274	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10123at33634	Duplicated	scaffold_3801	31410	33238	-	281.6	248	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10425at33634	Complete	scaffold_4954	9007	10356	+	701.5	351	https://www.orthodb.org/v10?query=10425at33634	H/ACA ribonucleoprotein complex subunit 4
10799at33634	Complete	scaffold_5944	11132	13007	+	536.1	358	https://www.orthodb.org/v10?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	scaffold_8519	3707	6563	-	540.8	379	https://www.orthodb.org/v10?query=11504at33634	RNA helicase
12069at33634	Complete	scaffold_3852	11809	12945	+	368.3	262	https://www.orthodb.org/v10?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Complete	scaffold_15007	0	1450	+	412.3	292	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	scaffold_12522	408	1436	+	201.0	213	https://www.orthodb.org/v10?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	scaffold_7761	5243	6662	-	682.0	375	https://www.orthodb.org/v10?query=12382at33634	Dead deah box rna
12562at33634	Complete	scaffold_4036	18065	19909	-	596.4	493	https://www.orthodb.org/v10?query=12562at33634	WD40-repeat-containing domain
12626at33634	Complete	scaffold_5437	8715	10175	+	380.9	323	https://www.orthodb.org/v10?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1
12684at33634	Complete	scaffold_3891	33821	35513	+	286.7	235	https://www.orthodb.org/v10?query=12684at33634	pap-associated domain-containing protein 5-like
12693at33634	Complete	scaffold_11420	2490	4289	-	259.2	304	https://www.orthodb.org/v10?query=12693at33634	Hsp90 co-chaperone CNS1 (contains TPR repeats)
13102at33634	Complete	scaffold_7448	8529	10000	-	402.8	295	https://www.orthodb.org/v10?query=13102at33634	Large subunit GTPase 1
13476at33634	Complete	scaffold_4859	16512	17339	-	313.6	186	https://www.orthodb.org/v10?query=13476at33634	Proteasome subunit beta type
13537at33634	Complete	scaffold_5440	6061	7138	-	342.9	222	https://www.orthodb.org/v10?query=13537at33634	Methyltransferase WBSCR22
13819at33634	Duplicated	scaffold_14309	323	1978	+	502.5	333	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
13819at33634	Duplicated	scaffold_12960	2	1057	+	459.7	299	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
13832at33634	Duplicated	scaffold_6949	7059	8178	+	202.5	179	https://www.orthodb.org/v10?query=13832at33634	protein phosphatase
