# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	KV784357_1	556710	560330	-	236.8	513	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	KV784375_1	424046	427718	+	1513.8	923	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Duplicated	KV784358_1	2836697	2840042	-	1083.1	720	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
723at33634	Duplicated	KV784392_1	188109	190925	+	1055.4	677	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Duplicated	KV784367_1	344922	348546	-	1346.5	857	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
971at33634	Duplicated	KV784355_1	329780	332232	-	1215.0	665	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	KV784356_1	817040	822544	-	1593.4	1246	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	KV784353_1	2887546	2891237	-	672.9	753	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	KV784358_1	710310	713305	-	1058.9	706	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	KV784359_1	359099	361961	+	710.5	588	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	KV784354_1	2589924	2592356	+	784.2	565	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Duplicated	KV784368_1	520657	524007	-	737.1	685	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3405at33634	Duplicated	KV784366_1	546756	550094	-	736.9	686	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Duplicated	KV784446_1	68818	71501	-	996.2	651	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3528at33634	Duplicated	KV784353_1	2451467	2454138	+	989.6	652	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	KV784387_1	467463	469842	-	881.1	506	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Duplicated	KV784356_1	2131398	2133621	-	525.9	486	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3834at33634	Duplicated	KV784362_1	1162928	1165152	-	524.1	482	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Duplicated	KV784379_1	206567	208324	+	733.0	465	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3835at33634	Duplicated	KV784387_1	526204	528350	-	660.6	435	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Duplicated	KV784353_1	5864156	5866687	+	598.3	559	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
3892at33634	Duplicated	KV784433_1	70457	72988	-	597.8	559	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	KV784353_1	3033168	3035922	+	699.1	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	KV784361_1	261753	263610	-	673.3	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Duplicated	KV784355_1	3347873	3349933	-	622.9	453	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
4406at33634	Duplicated	KV784363_1	1527358	1529418	+	622.4	453	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
