QueryId	SubjectId	Identity(%)	Length	Mismatches	Gap_opens	Q_Start	Q_End	S_Start	S_End	Evalue	BitScore	Genome	Strand	Gene	G_upstream	G_downstream	S_Center	RM	ID
TpTHI1	AGNL01000403_1	100	15	0	0	2	16	140	126	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01000403_1:140-126			133	F	1
TpSSSP	AGNL01000432_1	100	15	0	0	6	20	2271	2257	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_00373	gene-THAOC_00372	gene-THAOC_00374	2264	F	2
TpTHI1	AGNL01000437_1	100	14	0	0	11	24	1663	1676	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01000437_1:1663-1676			1669.5	F	3
TpTHI1	AGNL01001220_1	94.737	19	1	0	2	20	319	337	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_01016	gene-THAOC_01015	gene-THAOC_01017	328	F	4
TpTHI1	AGNL01002924_1	100	14	0	0	1	14	5765	5752	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01002924_1:5765-5752			5758.5	F	5
FcSSSP	AGNL01003669_1	100	14	0	0	2	15	661	674	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_03883	gene-THAOC_03882	gene-THAOC_03884	667.5	F	6
FcTHIC	AGNL01004017_1	100	14	0	0	16	29	1857	1870	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01004017_1:1857-1870	gene-THAOC_04325	gene-THAOC_04326	1863.5	F	7
TpTHI1	AGNL01004615_1	100	14	0	0	8	21	3946	3959	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_05091	gene-THAOC_05090	gene-THAOC_05092	3952.5	F	8
FcSSSP	AGNL01006351_1	100	14	0	0	22	35	1401	1388	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_06381	gene-THAOC_06380	gene-THAOC_06382	1394.5	F	9
TpSSSP	AGNL01007481_1	100	14	0	0	9	22	3483	3496	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01007481_1:3483-3496			3489.5	F	10
TpSSSP	AGNL01008086_1	100	15	0	0	7	21	979	965	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_07858	gene-THAOC_07857	gene-THAOC_07859	972	F	11
TpTHI1	AGNL01010641_1	100	14	0	0	5	18	10239	10252	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_09812	gene-THAOC_09811	gene-THAOC_09813	10245.5	F	12
TpSSSP	AGNL01010906_1	100	14	0	0	4	17	758	771	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_10067	gene-THAOC_10066	gene-THAOC_10068	764.5	F	13
TpSSSP	AGNL01011029_1	100	15	0	0	6	20	428	414	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_10153	gene-THAOC_10152	gene-THAOC_10154	421	F	14
PmSSSP	AGNL01011531_1	100	14	0	0	3	16	5923	5936	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_10494	gene-THAOC_10493	gene-THAOC_10495	5929.5	F	15
PtTHIC	AGNL01013739_1	100	15	0	0	19	33	1871	1885	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_11966	gene-THAOC_11965	gene-THAOC_11967	1878	F	16
PtTHIC	AGNL01015559_1	100	15	0	0	11	25	1535	1549	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_13417	gene-THAOC_13416	gene-THAOC_13419	1542	F	17
PmSSSP	AGNL01015708_1	94.737	19	1	0	4	22	135	117	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01015708_1:135-117			126	F	18
TpSSSP	AGNL01016118_1	100	14	0	0	7	20	4468	4481	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_13913	gene-THAOC_13911	gene-THAOC_13914	4474.5	F	19
TpSSSP	AGNL01017072_1	100	14	0	0	4	17	11678	11691	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_14642	gene-THAOC_14641	gene-THAOC_14643	11684.5	F	20
PtTHIC	AGNL01017193_1	100	14	0	0	15	28	17434	17447	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01017193_1:17434-17447			17440.5	F	21
TpSSSP	AGNL01017624_1	100	15	0	0	6	20	2594	2608	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_15182	gene-THAOC_15181	gene-THAOC_15183	2601	F	22
TpSSSP	AGNL01018017_1	100	14	0	0	7	20	1021	1034	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01018017_1:1021-1034			1027.5	F	23
PtSSSP	AGNL01018115_1	100	14	0	0	7	20	4526	4539	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_15702	gene-THAOC_15701	gene-THAOC_15703	4532.5	F	24
PmSSSP	AGNL01018303_1	100	14	0	0	3	16	1593	1606	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_16001	gene-THAOC_16000	gene-THAOC_16003	1599.5	F	25
PtSSSP	AGNL01018538_1	100	14	0	0	6	19	2081	2068	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_16447	gene-THAOC_16446	gene-THAOC_16448	2074.5	F	26
PtTHIC	AGNL01019468_1	100	15	0	0	8	22	417	403	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01019468_1:417-403			410	F	27
PtTHIC	AGNL01019504_1	100	14	0	0	6	19	10428	10415	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_17670	gene-THAOC_17665	gene-THAOC_17671	10421.5	F	28
FcSSSP	AGNL01020210_1	100	14	0	0	11	24	2458	2445	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01020210_1:2458-2445	gene-THAOC_18265	gene-THAOC_18266	2451.5	F	29
TpSSSP	AGNL01021007_1	100	18	0	0	3	20	123	140	0.024	36.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_19136	gene-THAOC_19135	gene-THAOC_19139	131.5	F	30
PtSSSP	AGNL01021417_1	100	14	0	0	6	19	2275	2262	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01021417_1:2275-2262			2268.5	F	31
TpSSSP	AGNL01021748_1	100	14	0	0	22	35	151	164	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01021748_1:151-164			157.5	F	32
TpSSSP	AGNL01022087_1	100	15	0	0	7	21	2208	2222	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_19841	gene-THAOC_19840	gene-THAOC_19842	2215	F	33
TpSSSP	AGNL01022670_1	100	15	0	0	6	20	121	107	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_20169	gene-THAOC_20168	gene-THAOC_20170	114	F	34
TpSSSP	AGNL01022717_1	100	15	0	0	8	22	2890	2904	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_20210	gene-THAOC_20209	gene-THAOC_20211	2897	F	35
TpSSSP	AGNL01022726_1	100	18	0	0	3	20	5856	5839	0.024	36.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_20220	gene-THAOC_20219	gene-THAOC_20221	5847.5	F	36
TpTHI1	AGNL01022844_1	100	16	0	0	6	21	7252	7237	0.35	32.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_20295	gene-THAOC_20294	gene-THAOC_20296	7244.5	F	37
TpTHI1	AGNL01028347_1	100	14	0	0	1	14	106	119	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01028347_1:106-119			112.5	F	38
TpSSSP	AGNL01031505_1	100	15	0	0	7	21	3617	3631	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_23709	gene-THAOC_23708	gene-THAOC_23710	3624	F	39
FcSSSP	AGNL01032070_1	100	14	0	0	22	35	1120	1107	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_23929	gene-THAOC_23928	gene-THAOC_23930	1113.5	F	40
PtTHIC	AGNL01033202_1	100	14	0	0	20	33	1	14	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01033202_1:1-14			7.5	F	41
TpSSSP	AGNL01033997_1	100	14	0	0	2	15	992	979	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_24819	gene-THAOC_24818	gene-THAOC_24820	985.5	F	42
FcSSSP	AGNL01036103_1	100	14	0	0	15	28	701	688	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01036103_1:701-688			694.5	F	43
TpTHI1	AGNL01039062_1	94.444	18	1	0	3	20	513	496	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01039062_1:513-496			504.5	F	44
TpSSSP	AGNL01039676_1	100	15	0	0	7	21	628	642	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_28207	gene-THAOC_28206	gene-THAOC_28208	635	F	45
TpSSSP	AGNL01041810_1	100	15	0	0	7	21	1242	1256	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_29499	gene-THAOC_29498	gene-THAOC_29500	1249	F	46
PtTHIC	AGNL01041936_1	100	14	0	0	6	19	2454	2441	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_29583	gene-THAOC_29582	gene-THAOC_29584	2447.5	F	47
FcSSSP	AGNL01043102_1	100	14	0	0	7	20	15546	15533	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043102_1:15546-15533			15539.5	F	48
PmSSSP	AGNL01043102_1	94.737	19	1	0	3	21	15551	15533	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043102_1:15551-15533			15542	F	49
FcSSSP	AGNL01043387_1	100	14	0	0	15	28	747	734	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_30377	gene-THAOC_30376	gene-THAOC_30378	740.5	F	50
TpSSSP	AGNL01043888_1	100	14	0	0	7	20	314	301	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01043888_1:314-301			307.5	F	51
TpSSSP	AGNL01045716_1	100	15	0	0	7	21	3537	3523	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_32643	gene-THAOC_32642	gene-THAOC_32644	3530	F	52
TpSSSP	AGNL01045717_1	87.5	32	4	0	1	32	7337	7368	0.37	32.2	Thalassiosira_oceanica_ThaOc_1.0	+	gene-THAOC_32647	gene-THAOC_32646	gene-THAOC_32648	7352.5	F	53
PmSSSP	AGNL01046364_1	100	14	0	0	3	16	2891	2878	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01046364_1:2891-2878			2884.5	F	54
PmSSSP	AGNL01047208_1	94.737	19	1	0	4	22	1563	1581	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01047208_1:1563-1581	gene-THAOC_34075	gene-THAOC_34076	1572	F	55
FcTHIC	AGNL01047629_1	100	14	0	0	16	29	718	731	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01047629_1:718-731			724.5	F	56
FcSSSP	AGNL01047782_1	100	14	0	0	20	33	16872	16859	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01047782_1:16872-16859	gene-THAOC_34935	gene-THAOC_34936	16865.5	F	57
TpTHI1	AGNL01048066_1	100	14	0	0	8	21	5002	4989	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_35342	gene-THAOC_35341	gene-THAOC_35343	4995.5	F	58
TpSSSP	AGNL01048180_1	100	15	0	0	6	20	2797	2783	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_35487	gene-THAOC_35486	gene-THAOC_35488	2790	F	59
PtTHIC	AGNL01048183_1	100	14	0	0	8	21	2702	2715	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01048183_1:2702-2715			2708.5	F	60
TpSSSP	AGNL01048237_1	100	14	0	0	7	20	1174	1187	5.7	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01048237_1:1174-1187			1180.5	F	61
TpSSSP	AGNL01048485_1	100	15	0	0	6	20	632	618	1.5	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_35903	gene-THAOC_35902	gene-THAOC_35904	625	F	62
PtTHIC	AGNL01048489_1	100	15	0	0	8	22	2221	2235	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01048489_1:2221-2235			2228	F	63
FcSSSP	AGNL01048694_1	100	14	0	0	22	35	3134	3147	5.5	28.2	Thalassiosira_oceanica_ThaOc_1.0	+	AGNL01048694_1:3134-3147			3140.5	F	64
PtTHIC	AGNL01049065_1	100	15	0	0	8	22	259	245	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	AGNL01049065_1:259-245			252	F	65
FcSSSP	AGNL01050453_1	94.737	19	1	0	8	26	4958	4940	1.4	30.2	Thalassiosira_oceanica_ThaOc_1.0	-	gene-THAOC_37597	gene-THAOC_37596	gene-THAOC_37598	4949	F	66
FcSSSP	BDSP01000003_1	100	14	0	0	6	19	54930	54917	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_17Lu305	gene-FisN_17Lh299	gene-FisN_17Lh298	54923.5	F	67
FcTHIC	BDSP01000011_1	100	14	0	0	22	35	223897	223910	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_19Lh183	gene-FisN_19Lu188	gene-FisN_19Lh184	223903.5	F	68
PtSSSP	BDSP01000013_1	100	14	0	0	1	14	1790	1803	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_11Lu285	gene-FisN_10Lh346	gene-FisN_11Lh278	1796.5	F	69
PtTHIC	BDSP01000013_1	100	14	0	0	1	14	61403	61390	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_11Lu264	gene-FisN_11Lh250	gene-FisN_11Lh249	61396.5	F	70
TpTHI1	BDSP01000013_1	100	15	0	0	12	26	167869	167855	0.79	30.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_11Lh204	gene-FisN_11Lh201	gene-FisN_11Lh205	167862	F	71
PtTHIC	BDSP01000013_1	100	14	0	0	2	15	297825	297838	3.1	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_11Lh143	gene-FisN_11Lh144	gene-FisN_11Lh142	297831.5	F	72
TpSSSP	BDSP01000013_1	100	14	0	0	12	25	415317	415304	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_11Lh089	gene-FisN_11Lh092	gene-FisN_11Lh086	415310.5	F	73
TpSSSP	BDSP01000013_1	100	14	0	0	22	35	463969	463982	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_11Lh069	gene-FisN_11Lh070	gene-FisN_11Lh068	463975.5	F	74
TpTHI1	BDSP01000020_1	100	14	0	0	2	15	53567	53554	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_40Lh022	gene-FisN_40Lh021	gene-FisN_40Lh023	53560.5	F	75
TpSSSP	BDSP01000022_1	100	15	0	0	10	24	246816	246802	0.83	30.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_14Lh175	gene-FisN_14Lh174	gene-FisN_14Lh176	246809	F	76
PtSSSP	BDSP01000036_1	100	14	0	0	15	28	259308	259295	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_9Hh281	gene-FisN_9Hh280	gene-FisN_9Hh282	259301.5	F	77
PtSSSP	BDSP01000041_1	100	14	0	0	21	34	140024	140037	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	BDSP01000041_1:140024-140037	gene-FisN_22Lu083	gene-FisN_22Lh070	140030.5	F	78
TpTHI1	BDSP01000048_1	100	14	0	0	3	16	268262	268249	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_8Lh124	gene-FisN_8Lh123	gene-FisN_8Lh125	268255.5	F	79
FcSSSP	BDSP01000049_1	100	14	0	0	1	14	6299	6286	3.1	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_15Lh222	gene-FisN_15Lh223	gene-FisN_15Lh221	6292.5	F	80
TpSSSP	BDSP01000064_1	87.5	32	4	0	1	32	9987	10018	0.21	32.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Lh025	gene-FisN_9Lh026	gene-FisN_9Lu032	10002.5	F	81
TpSSSP	BDSP01000064_1	87.5	32	4	0	1	32	14561	14592	0.21	32.2	Fistulifera_solaris_Fsol_1.0	+	BDSP01000064_1:14561-14592	gene-FisN_9Lh020	gene-FisN_9Lh019	14576.5	F	82
FcSSSP	BDSP01000064_1	96	25	1	0	6	30	14567	14591	2.08e-4	42.1	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_9Lh019	gene-FisN_9Lh020	gene-FisN_9Lh018	14579	F	83
TpSSSP	BDSP01000073_1	100	14	0	0	11	24	162874	162861	3.3	28.2	Fistulifera_solaris_Fsol_1.0	-	gene-FisN_30Lh102	gene-FisN_30Lh101	gene-FisN_30Lh105	162867.5	F	84
PmSSSP	BDSP01000092_1	100	15	0	0	5	19	299743	299757	0.83	30.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_8Lu317	gene-FisN_8Lh260	gene-FisN_8Lh259	299750	F	85
PtSSSP	BDSP01000096_1	100	14	0	0	4	17	212737	212750	3.3	28.2	Fistulifera_solaris_Fsol_1.0	+	gene-FisN_3Lh261	gene-FisN_3Lh260	gene-FisN_3Lh262	212743.5	F	86
