# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	CM000651_1	252648	258363	-	748.5	1232	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	CM000638_1	1244803	1248474	-	1524.5	926	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	CP001159_1	698096	701686	+	1261.5	785	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	CM000646_1	1008672	1012181	-	1420.5	848	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	CM000643_1	202271	208629	+	1620.9	1239	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	CM000641_1	2343443	2346521	-	548.2	602	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	CM000641_1	1843170	1846178	+	1131.1	743	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	CM000640_1	372134	375048	-	697.7	579	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	CM000641_1	668536	671094	-	791.0	579	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	CM000643_1	1352323	1355247	+	956.0	715	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	CM000641_1	208816	210898	-	981.5	548	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	CP001160_1	843646	845811	+	1008.5	523	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	CM000640_1	423163	425454	-	548.9	472	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	CM000642_1	1298252	1300272	-	830.3	505	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	CM000643_1	1302002	1304296	+	590.9	529	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	CM000639_1	1577693	1580191	-	702.6	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	CM000648_1	967270	968931	+	678.1	409	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	CM000654_1	123615	125902	-	607.8	489	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Duplicated	DS999417_1	233816	235420	-	544.4	419	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5074at33634	Duplicated	CP001160_1	1357473	1359342	+	512.8	423	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	CM000638_1	548886	550398	-	596.6	382	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	CM000641_1	177582	178625	-	460.2	279	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	CP001160_1	1916832	1918196	-	704.4	371	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	CM000639_1	798642	801164	-	724.3	500	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	CM000645_1	522162	523975	+	404.0	428	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	CM000641_1	1076287	1078116	+	787.7	452	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	CM000640_1	1282178	1283904	-	748.8	410	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	CM000649_1	477861	479582	-	685.8	437	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	CM000642_1	593408	595031	+	562.8	348	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	CM000641_1	318762	322362	-	1300.8	873	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	CM000643_1	1959229	1961552	+	657.4	545	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	CM000648_1	825253	827145	-	395.3	337	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	DS999415_1	453661	454672	+	220.2	204	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	CM000638_1	237123	238871	-	312.7	295	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	CM000643_1	706934	708214	-	598.7	338	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	CM000648_1	340818	344352	+	128.1	247	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	CM000643_1	1590396	1591838	-	591.0	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	CM000647_1	405288	406607	-	344.3	305	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	CM000638_1	2006981	2008600	-	395.8	324	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	CM000648_1	71699	74611	-	733.9	509	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Fragmented	CM000644_1	339848	341401	-	353.0	293	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	CM000650_1	230013	232045	-	324.2	262	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10425at33634	Complete	CM000643_1	377152	378537	-	706.1	351	https://www.orthodb.org/v10?query=10425at33634	H/ACA ribonucleoprotein complex subunit 4
10799at33634	Complete	CP001160_1	840691	842568	+	560.3	364	https://www.orthodb.org/v10?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	CM000640_1	329254	331900	+	558.3	376	https://www.orthodb.org/v10?query=11504at33634	RNA helicase
12069at33634	Complete	CM000641_1	1602356	1603501	+	378.8	266	https://www.orthodb.org/v10?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Complete	CM000647_1	246297	248006	+	494.3	353	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	CM000640_1	1113464	1114372	-	218.4	216	https://www.orthodb.org/v10?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	CM000641_1	632377	633681	+	683.5	377	https://www.orthodb.org/v10?query=12382at33634	Dead deah box rna
12562at33634	Complete	CM000643_1	493430	495358	-	595.9	467	https://www.orthodb.org/v10?query=12562at33634	WD40-repeat-containing domain
