# BUSCO version is: 5.1.2 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2020-08-05, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	CM000621_1	422937	424454	+	477.3	395	https://www.orthodb.org/v10?query=302at33634	rRNA biogenesis protein rrp5
693at33634	Complete	CM000608_1	2905	6618	-	1533.9	912	https://www.orthodb.org/v10?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	CM000605_1	1801811	1805386	-	1257.8	786	https://www.orthodb.org/v10?query=723at33634	valyl-tRNA synthetase
971at33634	Complete	CM000621_1	136518	140138	+	1388.9	846	https://www.orthodb.org/v10?query=971at33634	Isoleucine-tRNA ligase
1102at33634	Complete	DS999284_1	205384	210896	+	1603.3	1284	https://www.orthodb.org/v10?query=1102at33634	DNA-directed RNA polymerase subunit
1326at33634	Complete	CM000629_1	144905	148582	-	629.5	770	https://www.orthodb.org/v10?query=1326at33634	Regulator of nonsense transcripts 2
1342at33634	Complete	CM000612_1	84882	87935	+	1125.0	727	https://www.orthodb.org/v10?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	CM000618_1	355071	357671	+	721.6	582	https://www.orthodb.org/v10?query=1803at33634	Leucyl-tRNA synthetase
2880at33634	Complete	CM000615_1	489227	491725	+	802.8	575	https://www.orthodb.org/v10?query=2880at33634	AP complex subunit beta
3405at33634	Complete	CM000611_1	878842	881757	+	897.7	682	https://www.orthodb.org/v10?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	CM000612_1	571729	574047	+	997.5	599	https://www.orthodb.org/v10?query=3528at33634	TFIIH basal transcription factor complex helicase XPB subunit
3786at33634	Complete	CM000605_1	1462335	1464565	-	1013.2	521	https://www.orthodb.org/v10?query=3786at33634	Chaperone dnaK
3834at33634	Complete	CM000618_1	314372	316523	-	568.1	479	https://www.orthodb.org/v10?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	CM000626_1	58635	60458	+	804.3	496	https://www.orthodb.org/v10?query=3835at33634	Phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3892at33634	Complete	CM000611_1	400000	401820	+	565.2	441	https://www.orthodb.org/v10?query=3892at33634	SDA1 family protein
4148at33634	Complete	CM000629_1	274991	277633	-	697.4	475	https://www.orthodb.org/v10?query=4148at33634	Eukaryotic translation initiation factor 5B
4166at33634	Complete	CM000624_1	438347	440294	-	684.0	408	https://www.orthodb.org/v10?query=4166at33634	EF-hand domain
4406at33634	Complete	CM000630_1	325992	328394	+	621.2	453	https://www.orthodb.org/v10?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	CP001142_1	903691	905331	+	579.5	423	https://www.orthodb.org/v10?query=5074at33634	Glycerol kinase
5144at33634	Complete	CP001141_1	731236	732931	+	630.2	421	https://www.orthodb.org/v10?query=5144at33634	Signal recognition particle 54 kDa protein
5145at33634	Complete	CM000615_1	627030	628832	+	457.0	289	https://www.orthodb.org/v10?query=5145at33634	pre-mRNA-processing factor 17
5578at33634	Complete	CM000625_1	45214	46926	+	727.9	381	https://www.orthodb.org/v10?query=5578at33634	Eukaryotic translation initiation factor 2 subunit 3
5960at33634	Complete	CM000609_1	156796	172502	+	749.0	518	https://www.orthodb.org/v10?query=5960at33634	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
5964at33634	Complete	CM000608_1	604865	606355	+	347.7	404	https://www.orthodb.org/v10?query=5964at33634	Alpha-1,3-glucosyltransferase
6366at33634	Complete	CM000605_1	765982	767413	+	744.6	444	https://www.orthodb.org/v10?query=6366at33634	Inosine-5'-monophosphate dehydrogenase
6436at33634	Complete	CM000612_1	742829	744385	-	750.6	416	https://www.orthodb.org/v10?query=6436at33634	RNA helicase
6684at33634	Complete	CM000609_1	1012176	1013801	+	688.9	436	https://www.orthodb.org/v10?query=6684at33634	T-complex protein 1 subunit alpha
6933at33634	Complete	CM000609_1	19873	21614	-	555.7	365	https://www.orthodb.org/v10?query=6933at33634	Nucleolar protein NOP5
6981at33634	Complete	CM000633_1	82686	86045	+	1263.5	870	https://www.orthodb.org/v10?query=6981at33634	Exportin-1
6989at33634	Complete	CM000615_1	134681	136654	-	685.7	470	https://www.orthodb.org/v10?query=6989at33634	Pescadillo homolog
7485at33634	Complete	CM000616_1	805042	806811	+	398.4	354	https://www.orthodb.org/v10?query=7485at33634	RNA helicase
8142at33634	Complete	CM000611_1	259436	260593	-	221.5	229	https://www.orthodb.org/v10?query=8142at33634	tRNA-dihydrouridine synthase
8760at33634	Complete	CM000620_1	388387	389976	-	328.0	327	https://www.orthodb.org/v10?query=8760at33634	MutY A/G-specific DNA repair glycosylase
8842at33634	Complete	CM000605_1	108663	110067	+	588.4	340	https://www.orthodb.org/v10?query=8842at33634	26S Proteasome regulatory subunit 6A
9201at33634	Complete	CM000625_1	13568	14917	-	159.5	223	https://www.orthodb.org/v10?query=9201at33634	Programmed cell death protein 2
9286at33634	Complete	CM000613_1	266730	268364	-	608.1	377	https://www.orthodb.org/v10?query=9286at33634	Mitochondrial-processing peptidase subunit beta
9297at33634	Complete	CM000621_1	24034	25248	-	365.0	306	https://www.orthodb.org/v10?query=9297at33634	RNA 3'-terminal phosphate cyclase
9413at33634	Complete	CM000622_1	428969	430436	-	395.1	338	https://www.orthodb.org/v10?query=9413at33634	DNA primase
9731at33634	Complete	CM000605_1	1864233	1867076	-	752.9	542	https://www.orthodb.org/v10?query=9731at33634	AP-3 complex subunit delta
9939at33634	Complete	CM000618_1	345207	346892	+	436.2	404	https://www.orthodb.org/v10?query=9939at33634	Glycerol-3-phosphate dehydrogenase
10123at33634	Complete	CP001141_1	102049	103480	-	331.7	294	https://www.orthodb.org/v10?query=10123at33634	Gdp-man
10425at33634	Complete	CM000613_1	218362	219774	-	686.1	349	https://www.orthodb.org/v10?query=10425at33634	H/ACA ribonucleoprotein complex subunit 4
10799at33634	Complete	CM000605_1	1975718	1977336	-	565.3	356	https://www.orthodb.org/v10?query=10799at33634	Bifunctional dihydrofolate reductase-thymidylate synthase
11504at33634	Complete	CP001141_1	126123	128291	+	581.6	377	https://www.orthodb.org/v10?query=11504at33634	RNA helicase
12069at33634	Complete	CM000609_1	877634	878707	+	367.1	264	https://www.orthodb.org/v10?query=12069at33634	Cytosolic Fe-S cluster assembly factor NUBP1 homolog
12249at33634	Complete	CM000609_1	367110	368741	+	490.4	357	https://www.orthodb.org/v10?query=12249at33634	Methylthiotransferase, N-terminal
12363at33634	Complete	CM000607_1	947926	948888	+	213.5	228	https://www.orthodb.org/v10?query=12363at33634	Coatomer subunit epsilon
12382at33634	Complete	CM000616_1	592519	593817	+	665.8	377	https://www.orthodb.org/v10?query=12382at33634	Dead deah box rna
12562at33634	Complete	CM000610_1	641231	643522	-	615.0	565	https://www.orthodb.org/v10?query=12562at33634	WD40-repeat-containing domain
12626at33634	Complete	CM000605_1	2181799	2183499	+	376.3	335	https://www.orthodb.org/v10?query=12626at33634	MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1
12684at33634	Complete	CM000630_1	296852	298048	+	295.5	240	https://www.orthodb.org/v10?query=12684at33634	pap-associated domain-containing protein 5-like
12693at33634	Complete	CM000611_1	448609	450315	+	258.4	296	https://www.orthodb.org/v10?query=12693at33634	Hsp90 co-chaperone CNS1 (contains TPR repeats)
13102at33634	Complete	CM000608_1	618329	619855	+	507.2	371	https://www.orthodb.org/v10?query=13102at33634	Large subunit GTPase 1
13476at33634	Complete	CM000611_1	133322	134203	+	326.7	187	https://www.orthodb.org/v10?query=13476at33634	Proteasome subunit beta type
13537at33634	Complete	CM000624_1	487382	488332	-	341.3	232	https://www.orthodb.org/v10?query=13537at33634	Methyltransferase WBSCR22
13819at33634	Complete	CM000607_1	320385	321740	+	527.3	332	https://www.orthodb.org/v10?query=13819at33634	ubiquitin-activating enzyme E1 C
13832at33634	Complete	CM000611_1	622309	623810	-	246.3	204	https://www.orthodb.org/v10?query=13832at33634	protein phosphatase
14113at33634	Complete	CM000618_1	474693	475997	+	477.8	311	https://www.orthodb.org/v10?query=14113at33634	rme1-like gtpase atpase without a c-terminal eh domain protein
15177at33634	Complete	CM000622_1	52573	53674	-	425.4	266	https://www.orthodb.org/v10?query=15177at33634	Eukaryotic translation initiation factor 3 subunit I
15216at33634	Complete	CM000622_1	431368	432656	+	243.3	203	https://www.orthodb.org/v10?query=15216at33634	Pantoate-beta-alanine ligase
15242at33634	Complete	CM000610_1	499425	500467	-	348.1	191	https://www.orthodb.org/v10?query=15242at33634	Proteasome subunit beta type
15351at33634	Complete	CM000605_1	277297	278019	+	316.4	210	https://www.orthodb.org/v10?query=15351at33634	Proteasome subunit alpha type
15520at33634	Complete	CM000620_1	452681	454194	-	450.7	312	https://www.orthodb.org/v10?query=15520at33634	Flap endonuclease 1
15827at33634	Complete	CM000606_1	964853	966108	+	405.3	291	https://www.orthodb.org/v10?query=15827at33634	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase
15969at33634	Complete	CM000630_1	130096	131160	+	347.6	239	https://www.orthodb.org/v10?query=15969at33634	Calreticulin
16248at33634	Complete	CM000621_1	522508	523452	-	183.2	195	https://www.orthodb.org/v10?query=16248at33634	Impact, N-terminal
17057at33634	Complete	CM000614_1	299269	300900	-	398.3	390	https://www.orthodb.org/v10?query=17057at33634	Pumilio homology domain family member 6
17622at33634	Complete	CP001141_1	799351	800640	-	302.5	225	https://www.orthodb.org/v10?query=17622at33634	Histone acetyltransferase
17887at33634	Complete	CM000627_1	245153	245902	-	181.6	161	https://www.orthodb.org/v10?query=17887at33634	Pyridoxal phosphate homeostasis protein
18069at33634	Complete	CM000606_1	1057768	1058451	-	224.0	160	https://www.orthodb.org/v10?query=18069at33634	RNA polymerase, Rpb5, N-terminal
18429at33634	Complete	CM000618_1	109013	109816	-	207.4	184	https://www.orthodb.org/v10?query=18429at33634	Cyclin
18432at33634	Complete	CP001142_1	588911	590071	+	306.3	281	https://www.orthodb.org/v10?query=18432at33634	regulatory proteasome non-atpase subunit 10
18615at33634	Complete	CP001142_1	277630	278883	+	313.4	244	https://www.orthodb.org/v10?query=18615at33634	Rab proteins geranylgeranyltransferase component A
19366at33634	Complete	CM000605_1	1311800	1312408	-	128.7	113	https://www.orthodb.org/v10?query=19366at33634	HAD superfamily
19836at33634	Complete	CM000614_1	883636	885525	-	371.8	394	https://www.orthodb.org/v10?query=19836at33634	Cactin, central domain
19891at33634	Complete	CM000609_1	343852	344907	-	323.6	253	https://www.orthodb.org/v10?query=19891at33634	Brix domain containing 1
20044at33634	Complete	CM000608_1	784512	786903	+	536.1	491	https://www.orthodb.org/v10?query=20044at33634	DNA mismatch repair protein
20182at33634	Complete	CM000606_1	872288	873169	+	344.4	245	https://www.orthodb.org/v10?query=20182at33634	Estradiol 17-beta-dehydrogenase
20769at33634	Complete	CM000614_1	762451	763117	-	184.0	135	https://www.orthodb.org/v10?query=20769at33634	Adenylate kinase isoenzyme 6 homolog
21097at33634	Fragmented	CM000616_1	258418	259542	+	492.1	312	https://www.orthodb.org/v10?query=21097at33634	Signal recognition particle receptor subunit alpha
21875at33634	Duplicated	DS999270_1	32102	33022	-	259.3	214	https://www.orthodb.org/v10?query=21875at33634	Deoxyribonuclease TATDN1-like protein
21875at33634	Duplicated	DS999277_1	32104	33024	-	258.5	214	https://www.orthodb.org/v10?query=21875at33634	Deoxyribonuclease TATDN1-like protein
